Metodo,Iteracao,Erro_Final
SOR_w=0.9,15,0.0231459625
SOR_w=0.9,16,0.0136096638
SOR_w=0.9,17,0.0080023870
SOR_w=0.9,18,0.0047053475
SOR_w=0.9,19,0.0027667114
SOR_w=0.9,20,0.0016268069
SOR_w=0.9,21,0.0009565511
SOR_w=0.9,22,0.0005624453
SOR_w=0.9,23,0.0003307139
SOR_w=0.9,24,0.0001944575
SOR_w=0.9,25,0.0001143396
SOR_w=0.9,26,0.0000672309
SOR_w=0.9,27,0.0000395313
SOR_w=0.9,28,0.0000232441
SOR_w=0.9,29,0.0000136674
SOR_w=0.9,30,0.0000080363
SOR_w=0.9,31,0.0000047253
SOR_w=0.9,32,0.0000027784
SOR_w=0.9,33,0.0000016337
SOR_w=0.9,34,0.0000009606
SOR_w=0.9,35,0.0000005648
SOR_w=0.9,36,0.0000003321
SOR_w=0.9,37,0.0000001953
SOR_w=0.9,38,0.0000001148
SOR_w=0.9,39,0.0000000675
SOR_w=0.9,40,0.0000000397
SOR_w=0.9,41,0.0000000233
SOR_w=0.9,42,0.0000000137
SOR_w=0.9,43,0.0000000081
SOR_w=1.2,1,65.8440000000
SOR_w=1.2,2,26.0640000000
SOR_w=1.2,3,14.1004800000
SOR_w=1.2,4,6.4102500000
SOR_w=1.2,5,2.7983760000
SOR_w=1.2,6,0.2289996480
SOR_w=1.2,7,0.0553815456
SOR_w=1.2,8,0.0075686328
SOR_w=1.2,9,0.0028250303
SOR_w=1.2,10,0.0003932977
SOR_w=1.2,11,0.0000376472
SOR_w=1.2,12,0.0000239517
SOR_w=1.2,13,0.0000065002
SOR_w=1.2,14,0.0000003677
SOR_w=1.2,15,0.0000000883
SOR_w=1.2,16,0.0000000203
SOR_w=1.2,17,0.0000000032
SOR_w=1.5,1,93.0816650391
SOR_w=1.5,2,41.0888671875
SOR_w=1.5,3,18.6190724373
SOR_w=1.5,4,14.1018033028
SOR_w=1.5,5,11.6327371448
SOR_w=1.5,6,8.1912414171
SOR_w=1.5,7,5.5386558379
SOR_w=1.5,8,1.4028182633
SOR_w=1.5,9,0.3095198957
SOR_w=1.5,10,0.1784895526
SOR_w=1.5,11,0.0989978120
SOR_w=1.5,12,0.0593782993
SOR_w=1.5,13,0.0419502065
SOR_w=1.5,14,0.0358068317
SOR_w=1.5,15,0.0163933918
SOR_w=1.5,16,0.0049764380
SOR_w=1.5,17,0.0028206640
SOR_w=1.5,18,0.0011224118
SOR_w=1.5,19,0.0003808884
SOR_w=1.5,20,0.0003130729
SOR_w=1.5,21,0.0001155286
SOR_w=1.5,22,0.0001124596
SOR_w=1.5,23,0.0000439621
SOR_w=1.5,24,0.0000274170
SOR_w=1.5,25,0.0000160301
SOR_w=1.5,26,0.0000040025
SOR_w=1.5,27,0.0000020327
SOR_w=1.5,28,0.0000008786
SOR_w=1.5,29,0.0000004637
SOR_w=1.5,30,0.0000002326
SOR_w=1.5,31,0.0000001615
SOR_w=1.5,32,0.0000001525
SOR_w=1.5,33,0.0000000623
SOR_w=1.5,34,0.0000000105
SOR_w=1.5,35,0.0000000050
